# Catalog of 6,669 unique galaxies from SDSS Data Release 1
# In addition, galaxies are selected by the following conditions:
#    12 < rPetrosian < 17.77 
#  0.01 <  redshift  < 0.30
#    good imaging magnitudes,
#  212 < RA < 228 and -1 < Dec < 4
# The listed parameters are:
# RA/Dec: equatorial position in decimal deg.
# redshift, determined from SDSS spectrum
# DM: distance module for WMAP cosmology (magnitudes)
# absolute magnitude Mr = r - DM
# u and r: model magnitude, u-r=2.22 is a good separator
#          of spiral and elliptical galaxies (see Strateva et al. 2001)
#
#    RA         Dec  redshift   DM     u      r  
 220.43910    2.35097  0.138  39.05  19.73  17.20 
 220.31827    2.41688  0.027  35.36  19.07  17.07 
 220.46878    2.37256  0.139  39.06  20.25  17.32 
 220.48648    2.40320  0.136  39.01  19.96  16.95 
 220.61067    2.40982  0.142  39.11  20.00  16.92 
 220.62871    2.35319  0.138  39.05  20.59  17.65 
 220.77748    2.40193  0.139  39.06  18.02  14.98 
 220.82819    2.24918  0.077  37.67  18.38  15.62 
 220.77255    2.38020  0.138  39.04  20.78  17.38 
 220.95122    2.29866  0.122  38.75  19.90  17.06 
 221.06912    2.42196  0.123  38.77  18.87  17.02 
 221.20908    2.30372  0.140  39.08  19.91  16.91 
 221.50339    2.35811  0.079  37.75  19.46  16.77 
 221.47855    2.34096  0.138  39.05  19.95  17.57 
 221.51250    2.42785  0.047  36.56  19.16  17.58 
 221.55324    2.30966  0.026  35.29  17.29  15.21 
 221.55652    2.34768  0.134  38.97  19.02  16.97 
 221.62025    2.33081  0.138  39.05  20.01  17.16 
 221.64778    2.33677  0.139  39.06  19.42  17.34 
 221.69212    2.34957  0.080  37.78  18.28  16.16 
 221.71960    2.22741  0.121  38.75  19.06  17.57 
 221.97600    2.36796  0.145  39.17  20.20  17.31 
 222.09999    2.23301  0.135  38.99  19.52  17.45 
 222.23018    2.28872  0.118  38.68  20.00  17.17 
 222.23849    2.27429  0.033  35.79  18.58  16.89 
 222.24593    2.31473  0.034  35.84  18.91  17.18 
 222.32484    2.26138  0.117  38.67  19.96  17.33 
 222.59175    2.19197  0.045  36.47  17.65  15.76 
 222.77986    2.35455  0.097  38.22  19.47  16.72 
 222.80186    2.21398  0.097  38.21  19.91  17.11 
 223.04839    2.31059  0.113  38.58  18.76  15.71 
 223.23904    2.17961  0.070  37.46  19.75  17.31 
 223.43671    2.18526  0.089  38.01  19.71  17.58 
 223.35522    2.30303  0.027  35.35  18.67  17.10 
 223.46312    2.17376  0.082  37.84  19.32  17.27 
 223.58153    2.34446  0.113  38.58  20.19  17.55 
 223.62170    2.28772  0.034  35.86  17.40  15.11 
 224.04083    2.27853  0.134  38.97  19.73  17.10 
 223.96463    2.20988  0.113  38.57  20.03  17.11 
 224.11647    2.20687  0.029  35.48  17.09  14.91 
 224.05956    2.21945  0.029  35.46  18.48  16.53 
 224.11041    2.34718  0.022  34.87  17.63  16.29 
 224.32681    2.34103  0.151  39.25  19.56  17.19 
 224.23283    2.35595  0.153  39.30  20.43  17.41 
 224.31915    2.15266  0.113  38.57  19.56  17.43 
 224.35680    2.25615  0.152  39.27  19.21  17.03 
 224.36098    2.16657  0.112  38.56  19.95  17.26 
 224.43237    2.15073  0.113  38.58  18.75  17.08 
 224.49611    2.23904  0.044  36.40  18.63  16.99 
 224.91229    2.26793  0.086  37.95  17.83  15.61 
 225.12352    2.31408  0.040  36.19  17.31  15.36 
 225.23682    2.15051  0.121  38.74  18.61  15.67 
 225.24747    2.32073  0.210  40.06  20.44  17.22 
 225.32986    2.17174  0.081  37.79  19.26  16.42 
 225.28239    2.29957  0.086  37.94  18.18  15.63 
 225.26059    2.13676  0.121  38.73  20.04  17.28 
 225.29924    2.12179  0.119  38.70  20.07  17.09 
 225.40489    2.24730  0.035  35.90  17.14  14.93 
 225.49091    2.22788  0.138  39.04  20.10  17.36 
 225.65253    2.13057  0.107  38.45  19.86  16.83 
 225.68282    2.20411  0.096  38.20  20.17  17.24 
 225.64355    2.18630  0.169  39.53  20.66  17.44 
 225.87527    2.24313  0.168  39.52  20.38  17.25 
 225.88361    2.22565  0.032  35.70  16.75  14.85 
 225.90927    2.29922  0.045  36.46  19.57  17.58 
 226.04042    2.26429  0.171  39.56  20.32  17.21 
 226.12860    2.18172  0.113  38.57  20.16  17.49 
 226.28807    2.09927  0.229  40.26  20.55  17.24 
 226.18369    2.22906  0.113  38.58  19.39  16.63 
 226.15109    2.15646  0.043  36.38  18.88  16.25 
 226.33296    2.24552  0.078  37.71  18.89  16.88 
 226.34741    2.14896  0.055  36.92  17.90  15.28 
 226.41327    2.08693  0.113  38.58  19.42  17.03 
 226.34740    2.28504  0.120  38.71  18.88  17.22 
 226.35721    2.26904  0.078  37.71  18.43  16.49 
 226.45345    2.21271  0.172  39.58  20.17  17.07 
 226.47736    2.26774  0.136  39.01  19.17  16.57 
 226.61133    2.28617  0.232  40.30  20.98  17.42 
 226.78345    2.11499  0.078  37.71  17.56  15.69 
 226.76210    2.26936  0.223  40.21  22.88  17.44 
 226.79128    2.18548  0.145  39.17  19.27  17.33 
 227.01523    2.25529  0.091  38.09  18.16  15.79 
 227.00227    2.10236  0.213  40.10  20.51  17.32 
 226.92308    2.22222  0.113  38.58  18.66  16.40 
 227.01344    2.17698  0.029  35.53  17.90  16.52 
 227.04672    2.12613  0.124  38.80  19.21  16.45 
 227.09036    2.17181  0.223  40.21  20.97  16.95 
 227.06841    2.26302  0.218  40.14  20.38  17.22 
 227.11037    2.24200  0.221  40.18  21.00  17.28 
 227.13055    2.24517  0.223  40.20  20.17  17.15 
 227.38957    2.24000  0.134  38.99  20.05  17.21 
 227.35373    2.21938  0.224  40.21  20.36  17.03 
 227.53841    2.24873  0.113  38.58  19.14  16.61 
 227.61247    2.12747  0.134  38.98  19.91  16.79 
 227.56116    2.08379  0.134  38.97  19.64  16.67 
 227.59660    2.12712  0.134  38.97  20.00  17.05 
 227.64038    2.24300  0.074  37.61  18.18  15.32 
 227.60382    2.20820  0.133  38.96  18.97  16.35 
 227.80479    2.05948  0.088  37.98  18.80  16.44 
 227.81464    2.13391  0.113  38.57  19.07  16.61 
 227.87456    2.16895  0.169  39.53  19.25  17.08 
 227.98254    2.10281  0.169  39.52  20.14  16.90 
 212.02255    2.91622  0.096  38.21  18.21  16.30 
 212.08095    3.05329  0.099  38.26  19.88  17.17 
 212.13658    3.02430  0.018  34.38  16.70  14.94 
 212.38982    2.91837  0.152  39.27  20.51  17.48 
 212.64795    2.99831  0.081  37.81  19.71  17.31 
 212.67485    3.04908  0.180  39.68  21.35  17.54 
 212.74428    2.87197  0.075  37.64  19.46  16.88 
 212.73245    2.85232  0.026  35.23  17.27  15.68 
 212.88312    2.95412  0.076  37.65  18.51  17.48 
 212.84109    2.90637  0.228  40.26  18.85  17.43 
 212.89053    3.04048  0.072  37.52  18.93  17.27 
 213.07549    3.02163  0.131  38.93  18.91  16.89 
 213.08795    3.01896  0.056  36.97  20.05  17.50 
 213.13797    2.99219  0.074  37.60  17.57  15.55 
 213.17415    2.97594  0.073  37.55  18.96  17.44 
 213.21007    2.83294  0.179  39.67  20.95  17.25 
 213.32748    2.83257  0.076  37.64  19.11  16.24 
 213.41811    2.97256  0.026  35.25  18.59  17.59 
 213.38057    2.93271  0.147  39.20  19.45  17.52 
 213.45575    2.87822  0.076  37.66  19.02  16.53 
 213.51297    2.94603  0.025  35.19  19.01  17.45 
 213.56552    2.95110  0.025  35.15  17.15  15.73 
 213.56856    2.83429  0.100  38.29  18.51  17.36 
 213.58815    2.95590  0.026  35.29  18.06  15.37 
 213.59579    2.97801  0.026  35.27  17.06  14.20 
 213.59467    2.97624  0.026  35.25  17.55  15.57 
 213.61259    3.02863  0.056  36.95  17.87  16.22 
 213.58049    2.99158  0.025  35.19  19.55  17.43 
 213.64769    2.88902  0.183  39.72  19.08  17.02 
 213.69559    2.95869  0.085  37.90  19.67  17.07 
 213.60269    2.86635  0.180  39.68  20.44  17.08 
 213.76961    2.87346  0.074  37.59  18.75  16.82 
 213.82608    2.95817  0.222  40.19  20.66  17.51 
 213.83305    2.92043  0.130  38.91  18.93  16.89 
 213.83287    2.83656  0.163  39.44  19.74  17.57 
 213.97942    2.87945  0.054  36.89  19.32  16.83 
 214.12830    2.94678  0.180  39.69  19.85  17.63 
 214.21651    3.01906  0.102  38.34  20.05  16.88 
 214.24890    2.84004  0.076  37.65  16.73  15.62 
 214.31448    2.91333  0.131  38.93  19.34  16.54 
 214.21660    2.83395  0.076  37.65  18.35  16.81 
 214.36931    2.99856  0.150  39.25  20.12  16.87 
 214.34406    2.87161  0.102  38.34  19.95  17.05 
 214.39394    2.84512  0.162  39.43  20.60  17.44 
 214.33168    2.83052  0.054  36.90  19.98  17.43 
 214.34792    2.96755  0.163  39.45  20.44  17.55 
 214.57779    2.80934  0.121  38.74  19.07  17.10 
 214.66817    2.99256  0.132  38.95  20.03  17.27 
 214.72058    2.89440  0.116  38.64  19.83  17.19 
 214.64746    2.91682  0.163  39.45  19.40  17.56 
 214.72394    2.87535  0.200  39.94  19.59  17.63 
 214.81113    2.86745  0.127  38.84  19.87  16.90 
 214.84755    2.84686  0.085  37.92  18.56  16.53 
 214.96240    2.92825  0.126  38.82  19.41  17.52 
 215.07925    2.96737  0.056  36.96  18.98  16.50 
 215.10040    2.98656  0.126  38.83  20.13  17.08 
 215.18768    2.84739  0.056  36.96  18.44  16.99 
 215.29156    2.96647  0.089  38.03  19.31  16.70 
 215.33023    2.81436  0.085  37.92  18.31  16.14 
 215.49371    2.91030  0.108  38.48  19.56  16.97 
 215.50040    2.91886  0.108  38.46  18.87  16.04 
 215.48598    2.98369  0.085  37.93  19.55  16.88 
 215.44061    2.90013  0.108  38.48  18.80  16.92 
 215.66643    2.80922  0.055  36.93  17.86  16.03 
 215.79500    2.94374  0.056  36.97  18.42  16.45 
 215.74521    2.82940  0.055  36.94  18.42  15.87 
 215.76497    2.94055  0.105  38.41  19.35  17.64 
 215.88713    2.80624  0.056  36.96  18.72  15.96 
 215.92238    2.81169  0.056  36.96  19.33  16.78 
 215.88010    2.81228  0.052  36.81  19.36  17.21 
 215.91411    2.85972  0.136  39.01  20.30  17.51 
 215.94209    2.87381  0.124  38.80  19.30  17.09 
 215.94450    2.78769  0.052  36.81  18.81  17.30 
 216.06879    2.79047  0.055  36.94  18.35  15.43 
 216.08824    2.97056  0.026  35.25  17.34  16.07 
 216.08998    2.95477  0.026  35.26  17.24  16.20 
 216.11781    2.83355  0.113  38.58  20.12  17.44 
 216.11618    2.78068  0.051  36.78  19.29  17.29 
 216.14221    2.77392  0.055  36.90  19.42  16.73 
 216.19972    2.78383  0.054  36.89  19.24  16.46 
 216.26625    2.90218  0.136  39.02  20.26  17.45 
 216.15492    2.89503  0.154  39.31  18.76  16.76 
 216.17972    2.92039  0.068  37.40  18.67  17.37 
 216.22801    2.86551  0.055  36.93  18.94  17.27 
 216.30522    2.91217  0.136  39.02  19.32  16.30 
 216.30438    2.90754  0.136  39.01  20.15  17.36 
 216.52359    2.95343  0.026  35.28  18.47  16.12 
 216.47452    2.87409  0.027  35.35  16.71  14.96 
 216.44609    2.87072  0.201  39.95  19.38  17.56 
 216.53557    2.91841  0.113  38.57  18.55  16.44 
 216.67674    2.96224  0.138  39.04  19.98  16.99 
 216.63654    2.80770  0.143  39.13  19.37  17.57 
 216.67686    2.90765  0.142  39.11  19.78  17.53 
 216.76920    2.92708  0.161  39.41  19.70  16.92 
 216.80743    2.84683  0.036  35.95  16.84  14.22 
 216.83427    2.83993  0.026  35.23  16.79  14.46 
 216.83388    2.83838  0.027  35.33  16.79  14.46 
 216.75471    2.94513  0.164  39.46  20.53  17.38 
 216.75874    2.88382  0.169  39.53  19.65  17.65 
 216.76166    2.84243  0.137  39.03  19.71  17.28 
 216.77103    2.82629  0.036  35.96  18.31  16.78 
 216.77698    2.93728  0.163  39.45  20.51  17.67 
 216.89851    2.95448  0.024  35.05  16.41  14.09 
 216.95837    2.89560  0.137  39.04  20.18  17.13 
 216.89957    2.92512  0.138  39.05  20.30  16.61 
 216.93571    2.95614  0.090  38.04  18.96  17.48 
 216.94882    2.94452  0.090  38.04  18.72  17.47 
 217.01372    2.79432  0.090  38.05  20.10  17.38 
 217.14758    2.81248  0.088  37.98  19.02  16.42 
 217.10300    2.83385  0.087  37.98  18.56  15.55 
 217.02156    2.86001  0.119  38.70  19.38  17.28 
 217.02737    2.77757  0.090  38.04  18.90  17.42 
 217.05797    2.94048  0.119  38.70  18.59  17.25 
 217.14217    2.87648  0.135  38.99  19.29  16.91 
 217.15361    2.88784  0.154  39.31  19.18  17.46 
 217.20815    2.88061  0.074  37.60  19.41  17.56 
 217.29457    2.78200  0.139  39.06  20.51  17.19 
 217.30408    2.86376  0.089  38.02  18.82  16.54 
 217.30138    2.75832  0.091  38.08  18.98  16.72 
 217.32417    2.80982  0.137  39.03  19.20  16.16 
 217.33156    2.76563  0.087  37.97  18.94  16.61 
 217.33821    2.85509  0.086  37.95  19.00  16.31 
 217.37929    2.90107  0.086  37.95  19.62  17.26 
 217.37839    2.77218  0.091  38.07  18.46  15.92 
 217.56886    2.83390  0.111  38.53  19.61  17.33 
 217.68201    2.82562  0.026  35.21  18.25  15.94 
 217.69098    2.92619  0.026  35.25  17.69  16.36 
 217.67921    2.79221  0.140  39.09  20.59  17.14 
 217.75343    2.74516  0.144  39.14  19.63  17.04 
 217.79031    2.83123  0.146  39.18  20.40  17.39 
 217.90263    2.84916  0.086  37.95  20.02  17.33 
 217.98267    2.93232  0.112  38.55  19.49  16.46 
 217.94720    2.72989  0.110  38.50  19.15  17.49 
 218.29012    2.84004  0.149  39.23  19.88  17.25 
 218.40218    2.79318  0.093  38.12  18.35  17.11 
 218.52245    2.81008  0.093  38.12  20.58  17.78 
 218.60333    2.79896  0.028  35.40  16.50  13.80 
 218.65540    2.88239  0.029  35.52  16.78  14.97 
 218.65202    2.90050  0.029  35.51  18.81  16.49 
 218.66116    2.72050  0.028  35.45  17.63  15.37 
 218.69670    2.82250  0.028  35.44  17.43  16.33 
 218.81377    2.86116  0.102  38.34  18.26  15.96 
 218.68613    2.82337  0.028  35.43  18.22  17.36 
 218.70099    2.77476  0.028  35.44  18.96  17.06 
 218.76204    2.89239  0.156  39.34  18.41  16.93 
 219.00839    2.85162  0.029  35.48  17.18  14.46 
 219.11128    2.86616  0.028  35.45  17.94  15.39 
 219.10240    2.87266  0.193  39.84  19.88  17.01 
 219.18945    2.75577  0.234  40.32  20.71  17.37 
 219.18565    2.78775  0.221  40.18  20.78  17.39 
 219.39355    2.77311  0.131  38.92  19.52  16.46 
 219.29611    2.71821  0.098  38.25  19.29  17.36 
 219.37007    2.75242  0.179  39.67  19.54  17.62 
 219.43018    2.73567  0.089  38.01  18.46  15.82 
 219.52872    2.70484  0.153  39.30  20.16  17.73 
 219.43999    2.82312  0.162  39.43  19.70  17.18 
 219.52907    2.79803  0.130  38.90  20.43  17.42 
 219.63159    2.70862  0.058  37.05  18.58  16.97 
 219.56967    2.73807  0.098  38.24  19.21  16.31 
 219.74561    2.79308  0.099  38.26  18.66  16.58 
 219.81468    2.72803  0.028  35.41  16.03  13.29 
 219.78705    2.75368  0.098  38.24  18.47  16.09 
 219.85852    2.77657  0.145  39.16  20.47  17.51 
 219.86639    2.71327  0.143  39.14  19.83  17.18 
 219.89624    2.72383  0.146  39.19  20.29  17.16 
 219.86992    2.76874  0.144  39.15  18.92  15.76 
 220.05292    2.79542  0.030  35.55  17.48  16.09 
 220.28931    2.68680  0.027  35.33  17.58  15.52 
 220.39461    2.69451  0.189  39.81  20.75  17.26 
 220.77562    2.72654  0.140  39.08  19.67  16.72 
 220.79846    2.71805  0.137  39.02  19.37  17.00 
 221.13138    2.68007  0.049  36.67  18.71  16.82 
 221.22116    2.84978  0.081  37.80  18.78  17.53 
 221.34421    2.84161  0.133  38.95  18.73  16.50 
 221.34795    2.84028  0.132  38.95  20.15  17.19 
 221.24503    2.65882  0.134  38.97  19.18  17.06 
 221.32867    2.83675  0.190  39.82  19.39  17.22 
 221.36971    2.69170  0.134  38.97  18.52  16.31 
 221.49994    2.70067  0.133  38.96  19.56  16.79 
 221.59264    2.84113  0.189  39.81  20.50  17.30 
 221.55798    2.69625  0.222  40.19  20.62  17.49 
 221.66960    2.67543  0.151  39.26  19.33  17.54 
 221.90134    2.63801  0.122  38.75  19.83  16.90 
 221.99329    2.69233  0.175  39.62  20.78  17.32 
 222.16647    2.77956  0.079  37.76  19.26  17.64 
 222.24818    2.71389  0.125  38.82  20.27  17.18 
 222.15088    2.79153  0.212  40.08  20.33  17.22 
 222.15465    2.78931  0.079  37.75  20.06  17.40 
 222.20180    2.72789  0.176  39.63  20.19  17.12 
 222.34215    2.69762  0.124  38.80  20.12  17.54 
 222.62852    2.78139  0.139  39.06  19.55  17.00 
 222.66855    2.81481  0.029  35.53  18.66  16.66 
 222.61952    2.77261  0.213  40.09  20.55  17.25 
 222.73462    2.80032  0.029  35.51  18.39  15.72 
 222.80440    2.64691  0.034  35.87  17.40  15.55 
 222.77988    2.61601  0.084  37.88  18.63  16.07 
 222.91171    2.71375  0.034  35.82  16.54  14.71 
 222.99721    2.66491  0.131  38.93  18.90  16.87 
 223.00615    2.74277  0.131  38.93  20.12  17.20 
 223.06758    2.76788  0.097  38.22  18.81  17.34 
 223.24690    2.62336  0.083  37.87  19.11  16.73 
 223.60327    2.73872  0.070  37.48  19.25  16.85 
 223.69615    2.70355  0.070  37.48  18.22  15.57 
 223.76378    2.70929  0.026  35.27  16.68  14.52 
 224.02481    2.59005  0.138  39.04  20.64  17.28 
 223.98322    2.58087  0.124  38.79  19.26  16.98 
 224.02458    2.65850  0.271  40.69  21.42  17.23 
 224.14059    2.62212  0.124  38.79  18.65  16.96 
 224.12282    2.65836  0.165  39.47  20.15  17.41 
 224.06911    2.67514  0.223  40.20  20.99  17.52 
 224.25612    2.71901  0.026  35.27  17.10  14.83 
 224.25937    2.61696  0.083  37.85  17.94  15.75 
 224.35298    2.71150  0.149  39.23  19.66  16.66 
 224.29279    2.65646  0.097  38.21  20.04  17.51 
 224.42744    2.70038  0.151  39.26  19.81  17.58 
 224.50681    2.63261  0.089  38.01  18.79  17.14 
 224.59137    2.59280  0.056  36.96  18.66  17.03 
 224.52962    2.75943  0.129  38.88  19.87  17.65 
 224.53639    2.70758  0.130  38.90  19.21  17.34 
 224.63222    2.58434  0.135  39.00  18.83  17.06 
 224.70615    2.67717  0.087  37.98  18.06  16.12 
 224.76198    2.69818  0.122  38.75  20.53  17.62 
 224.91164    2.68804  0.154  39.30  19.89  16.88 
 225.10548    2.70111  0.035  35.93  18.31  17.07 
 225.12909    2.65299  0.085  37.91  18.89  16.53 
 225.12665    2.67037  0.050  36.71  18.21  16.74 
 225.44214    2.65595  0.089  38.03  18.31  16.48 
 225.49164    2.60663  0.042  36.32  18.52  16.07 
 225.54211    2.53115  0.042  36.34  18.17  16.46 
 225.70807    2.52547  0.079  37.76  18.04  16.45 
 225.61967    2.66469  0.080  37.77  19.31  16.82 
 225.63200    2.67927  0.080  37.77  18.09  16.32 
 225.75182    2.59961  0.170  39.55  19.05  17.47 
 225.77902    2.73256  0.156  39.33  19.63  16.32 
 225.74791    2.63790  0.149  39.23  19.50  17.50 
 225.92273    2.58186  0.050  36.73  18.85  16.30 
 225.99362    2.68326  0.042  36.34  19.55  17.09 
 226.07722    2.54537  0.165  39.47  19.43  16.37 
 226.08661    2.66178  0.082  37.83  19.12  16.53 
 226.04822    2.55600  0.166  39.49  19.67  17.31 
 226.10139    2.55839  0.154  39.31  19.95  17.35 
 226.09851    2.70395  0.036  35.97  18.93  17.58 
 226.22072    2.57469  0.120  38.71  19.87  17.03 
 226.26532    2.52092  0.120  38.71  18.85  15.80 
 226.26099    2.52669  0.165  39.48  20.46  17.12 
 226.23886    2.57031  0.239  40.37  19.87  17.31 
 226.25685    2.53631  0.163  39.44  20.32  16.99 
 226.27797    2.52339  0.119  38.70  20.00  17.59 
 226.16893    2.55456  0.043  36.35  18.23  16.98 
 226.26501    2.56138  0.165  39.47  20.05  17.34 
 226.43913    2.63469  0.103  38.35  18.89  15.94 
 226.42619    2.57909  0.174  39.60  20.54  17.19 
 226.42967    2.59751  0.102  38.33  19.44  17.33 
 226.56363    2.54904  0.098  38.23  19.84  17.11 
 226.49826    2.63819  0.125  38.81  19.17  17.05 
 226.63051    2.59452  0.078  37.71  19.36  17.18 
 226.76573    2.56867  0.124  38.79  19.26  16.29 
 226.98164    2.61765  0.103  38.37  19.69  16.96 
 226.98727    2.59327  0.102  38.34  19.39  16.52 
 227.05360    2.60494  0.062  37.21  19.03  16.83 
 226.92535    2.67755  0.103  38.35  20.23  17.42 
 226.99829    2.63358  0.256  40.54  20.91  17.15 
 227.08092    2.64136  0.102  38.34  19.89  17.11 
 227.18619    2.50887  0.030  35.53  18.87  17.32 
 227.19073    2.49267  0.092  38.10  18.78  16.29 
 227.08908    2.63105  0.036  35.94  18.03  16.05 
 227.10825    2.51429  0.234  40.32  20.16  17.67 
 227.19002    2.57287  0.091  38.07  19.22  17.54 
 227.20192    2.48920  0.092  38.10  18.74  17.28 
 227.41071    2.65492  0.173  39.59  19.08  16.86 
 227.37167    2.61199  0.174  39.59  19.34  16.99 
 227.58368    2.52382  0.089  38.03  19.32  17.32 
 227.79346    2.65489  0.041  36.26  17.81  16.57 
 227.79578    2.65395  0.041  36.25  17.69  16.61 
 227.66779    2.59047  0.221  40.18  20.02  16.68 
 227.89835    2.63528  0.039  36.15  18.31  16.45 
 227.84930    2.46765  0.134  38.98  19.31  17.24 
 227.87646    2.60518  0.100  38.29  20.83  17.42 
 227.88777    2.57784  0.113  38.57  20.40  17.30 
 227.88972    2.59245  0.113  38.57  18.58  15.57 
 227.93423    2.52742  0.110  38.51  18.74  16.91 
 227.96796    2.63477  0.171  39.56  19.27  17.23 
 212.08600    3.33396  0.180  39.69  20.47  17.48 
 212.69894    3.26843  0.189  39.80  20.90  17.34 
 212.84453    3.30774  0.181  39.70  20.58  17.00 
 212.84439    3.30881  0.182  39.70  20.86  17.82 
 213.23438    3.29544  0.180  39.68  19.14  16.72 
 213.38712    3.25845  0.180  39.68  20.46  17.34 
 213.66621    3.26031  0.027  35.35  18.42  16.14 
 214.53336    3.26284  0.078  37.73  20.06  17.30 
 214.53671    3.25211  0.078  37.72  18.20  15.36 
 214.58438    3.24626  0.078  37.73  18.22  16.07 
 214.97939    3.21646  0.100  38.30  19.52  16.77 
 215.00177    3.24455  0.052  36.80  17.96  16.50 
 215.22617    3.24074  0.159  39.38  20.28  16.70 
 212.25928    1.13811  0.096  38.19  18.78  16.82 
 212.42892    1.16561  0.114  38.60  19.17  17.26 
 212.56418    1.12291  0.147  39.19  20.15  17.58 
 212.88933    1.15950  0.025  35.18  17.12  14.54 
 212.98102    1.11069  0.095  38.17  19.03  16.57 
 213.12389    1.13039  0.047  36.56  18.94  17.53 
 213.43100    1.13259  0.180  39.68  19.77  17.22 
 213.49730    1.14460  0.138  39.05  20.04  17.24 
 213.53389    1.09869  0.180  39.68  19.87  16.47 
 214.33304    1.10730  0.127  38.84  19.61  17.45 
 214.83356    1.11154  0.118  38.68  18.80  16.60 
 215.28915    1.08153  0.103  38.37  19.24  17.01 
 215.46519    1.09957  0.117  38.67  19.92  16.80 
 215.55162    1.09913  0.065  37.31  18.35  16.68 
 216.15652    1.08021  0.098  38.24  18.95  16.16 
 217.17586    1.05888  0.113  38.58  20.52  17.47 
 212.02676    1.47213  0.096  38.19  19.67  16.94 
 212.13838    1.41755  0.127  38.85  20.18  17.33 
 212.27696    1.52716  0.115  38.62  19.15  16.26 
 212.40605    1.45000  0.085  37.92  19.28  16.46 
 212.37381    1.47301  0.057  36.99  18.71  17.27 
 212.48172    1.47677  0.046  36.54  16.80  14.97 
 212.58380    1.54523  0.162  39.43  20.00  17.58 
 212.62373    1.56044  0.025  35.17  16.62  15.11 
 212.75916    1.42160  0.253  40.51  20.26  17.00 
 212.66109    1.42495  0.046  36.54  19.23  16.67 
 212.67445    1.48050  0.026  35.23  17.38  14.84 
 212.67740    1.40805  0.046  36.54  17.54  15.68 
 212.69478    1.58002  0.148  39.22  19.89  16.80 
 212.71201    1.45717  0.116  38.64  19.12  16.88 
 212.79202    1.47472  0.026  35.21  16.38  13.67 
 212.82574    1.43325  0.026  35.21  18.34  16.53 
 212.86362    1.45483  0.085  37.91  19.12  16.76 
 212.88074    1.49688  0.116  38.64  19.52  16.66 
 213.02887    1.51777  0.026  35.23  17.61  15.93 
 213.17754    1.44011  0.053  36.84  18.99  16.94 
 213.20538    1.48921  0.018  34.42  17.20  15.91 
 213.07976    1.50941  0.085  37.91  19.36  16.64 
 213.13678    1.50579  0.077  37.70  19.35  17.39 
 213.30458    1.45595  0.077  37.70  19.47  17.06 
 213.40878    1.44631  0.080  37.79  19.10  16.44 
 213.44731    1.41287  0.117  38.66  20.35  17.40 
 213.47455    1.46344  0.106  38.42  20.00  17.19 
 213.49379    1.55613  0.183  39.72  20.53  17.19 
 213.65460    1.46563  0.054  36.88  18.85  16.66 
 213.60587    1.47310  0.054  36.86  18.52  15.82 
 213.57533    1.52224  0.175  39.61  19.52  17.08 
 213.53874    1.51983  0.026  35.24  18.64  16.86 
 213.85669    1.44551  0.117  38.66  18.56  15.58 
 213.90695    1.42860  0.252  40.50  20.31  17.51 
 214.01775    1.45823  0.054  36.88  17.88  15.02 
 214.04424    1.54140  0.053  36.84  17.50  15.91 
 214.04999    1.38057  0.054  36.89  18.36  17.11 
 214.15385    1.49075  0.107  38.46  19.98  16.94 
 214.26289    1.54379  0.117  38.65  18.84  17.04 
 214.51295    1.47078  0.055  36.92  18.64  15.82 
 214.51558    1.53533  0.190  39.81  20.60  17.41 
 214.43527    1.42500  0.068  37.40  17.99  16.49 
 214.46378    1.36739  0.050  36.71  18.87  17.29 
 214.60898    1.35609  0.083  37.87  17.86  16.32 
 214.58418    1.48337  0.072  37.55  18.32  16.33 
 214.61162    1.53595  0.190  39.82  19.65  17.27 
 214.98654    1.37109  0.102  38.34  19.30  16.37 
 215.07880    1.51737  0.103  38.36  20.37  17.08 
 215.03067    1.46866  0.084  37.90  18.90  17.14 
 215.04857    1.50329  0.085  37.90  19.74  17.50 
 215.26343    1.52349  0.084  37.90  18.89  16.19 
 215.39764    1.38464  0.190  39.81  19.95  16.93 
 215.66039    1.36515  0.117  38.66  20.12  17.14 
 215.63585    1.32026  0.119  38.69  18.80  16.78 
 215.66809    1.40840  0.078  37.73  18.36  17.22 
 215.98044    1.45797  0.120  38.72  19.69  17.29 
 216.12843    1.37711  0.117  38.66  19.89  17.17 
 216.15627    1.31815  0.074  37.61  18.68  17.42 
 216.21532    1.37975  0.117  38.66  19.43  17.20 
 216.13480    1.33303  0.124  38.79  19.28  17.53 
 216.19061    1.37324  0.124  38.80  20.04  17.48 
 216.32545    1.37346  0.102  38.35  18.81  17.08 
 216.33096    1.49033  0.125  38.81  19.90  17.52 
 216.50894    1.47364  0.086  37.94  19.11  16.33 
 216.41037    1.43416  0.152  39.27  19.29  16.74 
 216.56454    1.49149  0.055  36.93  17.52  15.52 
 216.64366    1.33199  0.152  39.28  19.39  17.14 
 216.74318    1.35875  0.143  39.13  20.18  17.36 
 216.72852    1.47397  0.103  38.35  18.52  16.90 
 216.76253    1.36274  0.056  36.96  18.20  16.16 
 217.16978    1.42005  0.114  38.59  18.82  15.89 
 217.18468    1.40948  0.113  38.58  19.46  16.46 
 217.26921    1.33820  0.101  38.32  18.77  16.89 
 217.35860    1.38798  0.128  38.86  19.21  16.50 
 217.37193    1.31802  0.154  39.30  20.14  17.35 
 217.31448    1.46176  0.101  38.31  20.32  17.53 
