# Catalog of 6,669 unique galaxies from SDSS Data Release 1
# In addition, galaxies are selected by the following conditions:
#    12 < rPetrosian < 17.77 
#  0.01 <  redshift  < 0.30
#    good imaging magnitudes,
#  212 < RA < 228 and -1 < Dec < 4
# The listed parameters are:
# RA/Dec: equatorial position in decimal deg.
# redshift, determined from SDSS spectrum
# DM: distance module for WMAP cosmology (magnitudes)
# absolute magnitude Mr = r - DM
# u and r: model magnitude, u-r=2.22 is a good separator
#          of spiral and elliptical galaxies (see Strateva et al. 2001)
#
#    RA         Dec  redshift   DM     u      r  
 219.10480   -0.69781  0.181  39.69  20.48  17.27 
 219.19748   -0.75951  0.038  36.08  18.25  16.58 
 219.46494   -0.67245  0.081  37.81  18.94  16.12 
 219.53781   -0.71858  0.151  39.26  20.06  17.21 
 219.60503   -0.67840  0.072  37.55  18.66  16.59 
 219.66060   -0.78616  0.194  39.86  18.49  17.12 
 219.76137   -0.63548  0.137  39.03  19.48  16.15 
 219.74141   -0.83547  0.138  39.05  20.05  17.00 
 219.76044   -0.83045  0.138  39.04  19.75  16.85 
 219.73950   -0.65599  0.138  39.04  19.33  17.01 
 219.78464   -0.80814  0.116  38.64  19.51  17.27 
 219.69553   -0.72499  0.107  38.45  20.31  17.26 
 219.93663   -0.66030  0.149  39.22  20.61  16.52 
 219.86729   -0.83449  0.107  38.45  19.82  16.96 
 219.89815   -0.82573  0.116  38.64  19.97  16.94 
 219.90497   -0.77039  0.072  37.53  19.06  16.30 
 219.93317   -0.81800  0.116  38.63  19.68  17.29 
 220.04846   -0.75331  0.179  39.67  18.78  16.86 
 220.08560   -0.76781  0.080  37.79  18.90  17.08 
 220.12488   -0.74051  0.139  39.06  19.48  17.05 
 220.05150   -0.69132  0.138  39.05  19.21  16.96 
 220.18169   -0.83119  0.182  39.70  19.09  17.33 
 220.38510   -0.70740  0.149  39.23  19.93  16.85 
 220.33768   -0.75955  0.080  37.78  17.54  15.84 
 220.35071   -0.75185  0.080  37.78  19.14  17.27 
 220.43594   -0.82699  0.143  39.13  19.51  16.40 
 220.35297   -0.67647  0.149  39.23  20.50  17.19 
 220.51099   -0.73581  0.108  38.48  19.95  17.06 
 220.48438   -0.83095  0.143  39.13  19.91  16.90 
 220.51741   -0.81640  0.144  39.15  19.96  16.82 
 220.51747   -0.73578  0.109  38.49  19.39  16.97 
 220.52042   -0.75606  0.142  39.12  20.49  17.35 
 220.57640   -0.75875  0.142  39.11  20.20  17.34 
 220.67842   -0.67532  0.080  37.78  19.47  17.19 
 220.65382   -0.77310  0.109  38.49  19.81  16.70 
 220.73598   -0.81090  0.045  36.47  18.53  17.00 
 220.74100   -0.80290  0.149  39.22  20.61  17.24 
 220.82671   -0.66987  0.147  39.20  20.03  17.53 
 220.86194   -0.72091  0.150  39.24  19.51  16.15 
 220.83391   -0.66822  0.148  39.22  20.11  17.03 
 220.84167   -0.63135  0.150  39.25  20.45  17.37 
 220.76941   -0.65153  0.152  39.28  19.12  17.06 
 221.00580   -0.63471  0.194  39.87  19.77  17.60 
 221.07178   -0.83327  0.149  39.23  20.29  17.32 
 221.29404   -0.76712  0.058  37.03  18.96  17.50 
 221.51454   -0.67135  0.288  40.84  20.58  17.33 
 221.68031   -0.67975  0.205  40.00  20.59  17.51 
 221.88795   -0.69985  0.211  40.06  20.79  17.27 
 222.04016   -0.69330  0.028  35.38  18.07  17.01 
 221.93921   -0.67532  0.043  36.35  19.11  17.32 
 221.97559   -0.64694  0.124  38.79  18.49  16.55 
 222.08932   -0.80754  0.056  36.97  17.37  15.28 
 222.13477   -0.71497  0.142  39.11  20.17  17.21 
 222.25420   -0.64775  0.042  36.34  17.90  15.16 
 222.31860   -0.71127  0.043  36.37  17.61  15.31 
 222.23499   -0.72721  0.028  35.42  17.39  15.70 
 222.29646   -0.70191  0.043  36.40  18.04  16.64 
 222.49257   -0.63138  0.026  35.29  18.32  17.01 
 222.57314   -0.65015  0.043  36.36  18.27  15.84 
 222.63254   -0.78540  0.111  38.53  19.85  16.92 
 222.68048   -0.78722  0.146  39.19  20.15  16.65 
 222.65045   -0.79192  0.111  38.53  20.87  17.27 
 222.97325   -0.72368  0.044  36.41  18.03  16.90 
 223.23705   -0.78549  0.079  37.74  18.26  15.67 
 223.21327   -0.73997  0.077  37.70  18.08  15.13 
 223.24207   -0.63067  0.077  37.70  19.29  16.44 
 223.31061   -0.83046  0.120  38.71  19.77  17.15 
 223.29060   -0.63912  0.078  37.71  18.01  16.45 
 223.50227   -0.77504  0.217  40.14  20.82  17.27 
 223.54568   -0.77011  0.084  37.88  19.12  16.86 
 223.69702   -0.69281  0.084  37.88  19.34  16.30 
 223.69193   -0.79149  0.217  40.13  19.38  17.49 
 223.71344   -0.69412  0.076  37.67  19.58  17.58 
 223.76981   -0.79638  0.076  37.67  18.90  17.25 
 223.80673   -0.72012  0.085  37.93  19.00  17.53 
 223.79213   -0.77620  0.084  37.89  20.28  17.44 
 223.94159   -0.83773  0.101  38.32  18.86  17.26 
 224.01561   -0.65612  0.099  38.28  17.99  16.03 
 223.89432   -0.79217  0.085  37.92  19.11  17.37 
 224.06635   -0.62948  0.086  37.96  19.28  16.63 
 224.27867   -0.74936  0.087  37.96  18.61  16.51 
 225.35533   -0.75389  0.146  39.18  18.82  17.23 
 225.60086   -0.81332  0.088  38.00  20.67  16.38 
 226.07008   -0.65437  0.088  38.01  19.64  16.95 
 226.18671   -0.67670  0.093  38.13  18.89  16.18 
 226.26436   -0.82550  0.114  38.59  19.25  17.30 
 226.29778   -0.82109  0.114  38.59  18.17  16.98 
 226.35381   -0.69391  0.089  38.01  20.01  17.09 
 226.45103   -0.70346  0.035  35.92  16.81  15.85 
 226.44527   -0.71491  0.035  35.94  16.93  14.83 
 226.90062   -0.78152  0.159  39.38  19.93  16.79 
 226.97701   -0.83235  0.122  38.76  18.40  15.73 
 226.99516   -0.66375  0.089  38.03  19.98  17.25 
 227.09370   -0.66031  0.142  39.11  19.30  17.01 
 227.04155   -0.82304  0.142  39.12  19.89  17.05 
 227.24118   -0.70468  0.038  36.08  18.22  17.04 
 227.27847   -0.80694  0.070  37.46  18.19  15.82 
 227.31937   -0.67670  0.095  38.17  18.52  15.77 
 227.22922   -0.78546  0.070  37.48  18.11  16.33 
 227.37581   -0.77117  0.038  36.08  16.51  14.45 
 227.44003   -0.75419  0.060  37.11  18.44  15.56 
 227.50392   -0.71579  0.071  37.51  18.44  15.59 
 227.53534   -0.63113  0.081  37.81  18.48  16.59 
 227.57545   -0.71139  0.147  39.19  19.48  16.47 
 227.60991   -0.68284  0.090  38.06  19.04  17.19 
 227.54744   -0.80762  0.090  38.05  18.61  16.82 
 227.56316   -0.81742  0.125  38.82  18.79  17.23 
 227.74411   -0.66523  0.092  38.09  19.80  17.21 
 227.71770   -0.82077  0.055  36.92  18.34  17.24 
 227.82309   -0.68590  0.176  39.63  19.80  17.64 
 227.79637   -0.79083  0.152  39.28  18.68  17.18 
 212.00659   -0.22561  0.053  36.85  19.69  16.86 
 212.16396   -0.36618  0.077  37.68  19.01  17.12 
 212.05620   -0.28967  0.083  37.87  20.25  17.44 
 212.13670   -0.23355  0.096  38.19  18.16  16.88 
 212.07950   -0.32102  0.113  38.58  20.14  17.40 
 212.11862   -0.23099  0.172  39.58  19.73  17.08 
 212.15764   -0.22516  0.052  36.80  18.93  17.50 
 212.26210   -0.29916  0.239  40.37  20.94  17.47 
 212.39101   -0.29083  0.071  37.49  19.55  16.80 
 212.49696   -0.37738  0.082  37.83  19.25  16.71 
 212.35759   -0.33519  0.071  37.51  18.70  17.43 
 212.51450   -0.35584  0.083  37.86  17.94  15.08 
 212.52827   -0.36628  0.104  38.37  20.14  17.06 
 212.53310   -0.39678  0.097  38.22  18.94  17.01 
 212.63455   -0.23784  0.139  39.06  19.51  17.13 
 212.75732   -0.33230  0.055  36.91  19.20  17.42 
 212.70340   -0.31122  0.138  39.04  19.85  16.79 
 212.77087   -0.31957  0.139  39.06  19.76  16.90 
 212.77985   -0.34218  0.055  36.91  18.39  17.16 
 212.84805   -0.30052  0.026  35.25  18.16  16.74 
 212.94820   -0.27337  0.147  39.19  19.37  16.58 
 213.00578   -0.29104  0.138  39.05  20.33  17.24 
 213.20872   -0.29582  0.138  39.05  19.04  15.86 
 213.13945   -0.28008  0.138  39.06  20.14  16.94 
 213.20412   -0.34779  0.116  38.64  19.14  17.20 
 213.10658   -0.25055  0.139  39.06  21.35  17.69 
 213.28625   -0.26191  0.129  38.89  20.09  17.20 
 213.29912   -0.39937  0.126  38.83  19.76  17.48 
 213.34267   -0.40164  0.128  38.88  19.57  17.55 
 213.48306   -0.38920  0.140  39.08  20.15  17.23 
 213.48738   -0.30805  0.129  38.88  19.92  17.42 
 213.53140   -0.39636  0.140  39.08  19.88  16.76 
 213.42532   -0.35039  0.140  39.09  20.22  17.25 
 213.43187   -0.27395  0.126  38.83  19.54  16.98 
 213.49001   -0.41552  0.138  39.05  20.29  17.31 
 213.53700   -0.27406  0.140  39.08  19.59  16.48 
 213.55029   -0.41894  0.138  39.05  19.92  17.00 
 213.40967   -0.24820  0.129  38.89  19.52  17.41 
 213.49001   -0.23281  0.039  36.13  19.19  17.20 
 213.60170   -0.38428  0.137  39.03  20.72  17.55 
 213.68146   -0.28223  0.038  36.12  16.79  14.46 
 213.67441   -0.28405  0.039  36.13  18.12  16.92 
 213.69536   -0.32181  0.140  39.09  20.33  17.27 
 213.56775   -0.35127  0.139  39.07  20.30  17.09 
 213.58775   -0.30387  0.136  39.02  20.47  16.89 
 213.59804   -0.21929  0.141  39.09  19.46  16.56 
 213.61835   -0.33007  0.141  39.09  19.54  16.43 
 213.62169   -0.37475  0.136  39.01  18.99  15.83 
 213.63435   -0.41383  0.138  39.05  19.52  16.42 
 213.63498   -0.26172  0.138  39.05  20.30  17.17 
 213.58292   -0.33116  0.144  39.15  19.49  17.14 
 213.65150   -0.40657  0.186  39.76  19.18  16.97 
 213.67813   -0.31533  0.139  39.06  20.43  17.44 
 213.69772   -0.31298  0.138  39.05  20.45  17.56 
 213.76740   -0.25013  0.126  38.83  20.06  16.93 
 213.83963   -0.38253  0.126  38.84  19.04  17.42 
 213.71539   -0.29320  0.146  39.19  19.74  16.67 
 213.72058   -0.31553  0.140  39.08  19.71  16.96 
 213.73473   -0.35908  0.138  39.05  20.58  17.48 
 213.73515   -0.36551  0.138  39.04  20.48  17.39 
 213.74017   -0.40901  0.146  39.19  20.13  17.24 
 213.74054   -0.34962  0.139  39.06  18.94  15.75 
 213.76318   -0.37859  0.143  39.13  20.14  17.12 
 213.78273   -0.36761  0.185  39.74  19.64  17.51 
 213.83580   -0.36117  0.137  39.03  18.94  16.49 
 213.71562   -0.36794  0.140  39.08  19.94  16.99 
 213.72552   -0.27443  0.140  39.08  19.58  17.48 
 213.72661   -0.38586  0.186  39.76  19.36  17.30 
 213.74579   -0.38734  0.143  39.13  19.76  17.44 
 213.74612   -0.40395  0.139  39.06  20.55  17.65 
 213.80070   -0.29233  0.125  38.81  18.95  17.09 
 213.95528   -0.41123  0.184  39.74  20.19  16.97 
 213.96286   -0.24818  0.185  39.74  20.26  17.38 
 213.98686   -0.34445  0.077  37.69  19.35  16.86 
 214.12943   -0.39347  0.140  39.08  18.85  16.88 
 214.13821   -0.29321  0.077  37.70  19.36  16.75 
 214.13927   -0.40793  0.140  39.08  19.92  17.28 
 214.17082   -0.30157  0.078  37.73  18.87  16.92 
 214.26883   -0.25236  0.044  36.41  19.47  16.73 
 214.19412   -0.21573  0.127  38.85  19.39  16.56 
 214.34096   -0.23802  0.169  39.53  19.36  17.13 
 214.41158   -0.27167  0.148  39.21  19.33  16.39 
 214.46414   -0.31018  0.123  38.78  19.07  16.47 
 214.56874   -0.37872  0.036  36.00  17.21  15.47 
 214.48901   -0.29083  0.124  38.79  18.69  16.98 
 214.49281   -0.29589  0.124  38.79  19.92  17.53 
 214.61281   -0.23475  0.121  38.73  20.65  16.75 
 214.71411   -0.28020  0.051  36.77  18.49  16.73 
 214.76561   -0.41793  0.181  39.70  20.55  17.40 
 214.89430   -0.32362  0.132  38.95  19.97  16.99 
 214.82196   -0.41276  0.040  36.19  18.71  16.96 
 215.01944   -0.31479  0.052  36.79  19.49  16.79 
 215.03148   -0.27626  0.051  36.77  19.28  16.54 
 214.92694   -0.39538  0.132  38.94  20.00  17.12 
 215.01355   -0.36739  0.127  38.84  19.71  17.28 
 215.08160   -0.29469  0.051  36.77  18.73  17.16 
 215.05894   -0.24022  0.084  37.90  19.98  17.12 
 215.13722   -0.24844  0.064  37.25  19.05  17.47 
 215.29851   -0.37270  0.053  36.85  19.18  16.48 
 215.42207   -0.36603  0.052  36.80  18.39  15.62 
 215.42311   -0.33773  0.052  36.80  17.83  15.09 
 215.37927   -0.21315  0.052  36.80  19.09  16.29 
 215.44920   -0.25095  0.139  39.07  19.37  17.20 
 215.46091   -0.41855  0.053  36.83  18.62  17.15 
 215.46910   -0.31812  0.150  39.24  19.03  17.09 
 215.50235   -0.23537  0.140  39.08  19.06  16.90 
 215.77118   -0.36939  0.192  39.83  20.35  17.30 
 215.71082   -0.39347  0.130  38.91  19.37  16.63 
 215.75061   -0.25455  0.055  36.93  17.79  16.27 
 215.87245   -0.37767  0.032  35.70  18.15  17.29 
 215.81291   -0.21810  0.139  39.07  19.31  16.60 
 215.92377   -0.26478  0.127  38.86  18.95  16.74 
 215.95387   -0.24834  0.085  37.90  18.53  16.59 
 216.04169   -0.22993  0.174  39.60  20.26  17.61 
 216.08485   -0.35603  0.135  38.99  19.84  17.10 
 216.23398   -0.37605  0.079  37.75  17.26  16.49 
 216.18745   -0.32497  0.174  39.60  19.84  16.34 
 216.23582   -0.28565  0.139  39.07  20.00  17.22 
 216.11166   -0.26828  0.138  39.05  20.24  17.14 
 216.29240   -0.36131  0.103  38.36  19.13  16.85 
 216.30206   -0.31683  0.168  39.51  19.47  16.78 
 216.29318   -0.27955  0.130  38.90  19.82  17.13 
 216.45932   -0.33074  0.151  39.26  20.49  17.48 
 216.47971   -0.27155  0.129  38.89  18.42  16.44 
 216.50018   -0.30503  0.138  39.05  18.98  15.87 
 216.49054   -0.37194  0.151  39.26  19.91  17.39 
 216.50487   -0.24663  0.254  40.53  20.89  17.23 
 216.47127   -0.22864  0.128  38.87  19.19  16.58 
 216.65872   -0.39813  0.131  38.92  19.29  16.92 
 216.60844   -0.26562  0.079  37.75  19.45  17.05 
 216.71623   -0.24566  0.127  38.85  19.77  17.30 
 216.71658   -0.35620  0.160  39.40  20.36  17.33 
 216.74283   -0.26931  0.104  38.39  19.46  17.42 
 216.80168   -0.38635  0.163  39.45  20.70  17.36 
 216.84038   -0.23549  0.160  39.40  20.41  17.47 
 216.89612   -0.40701  0.053  36.83  18.50  15.91 
 216.85036   -0.24865  0.163  39.44  19.30  16.05 
 216.99083   -0.32459  0.161  39.42  20.41  17.36 
 216.86613   -0.26591  0.151  39.26  19.28  17.42 
 216.88222   -0.29015  0.054  36.87  17.17  15.26 
 216.89581   -0.27756  0.053  36.84  18.62  16.37 
 217.29077   -0.35167  0.035  35.91  17.40  15.96 
 217.29903   -0.23759  0.035  35.88  17.43  15.76 
 217.30527   -0.38163  0.136  39.01  19.04  16.71 
 217.48312   -0.36270  0.184  39.74  19.38  17.15 
 217.49577   -0.41857  0.135  39.00  19.12  17.13 
 217.51019   -0.31181  0.124  38.79  19.57  17.41 
 217.59566   -0.22034  0.103  38.36  18.09  16.97 
 217.73512   -0.24189  0.124  38.80  20.20  17.41 
 217.73801   -0.23802  0.123  38.78  20.40  17.41 
 217.64172   -0.30265  0.131  38.93  19.90  16.89 
 217.71503   -0.23466  0.122  38.76  19.64  17.14 
 217.74367   -0.30304  0.093  38.13  18.20  15.43 
 217.74840   -0.22299  0.124  38.79  19.99  17.17 
 217.76358   -0.26512  0.106  38.43  18.04  16.20 
 217.78348   -0.26936  0.125  38.81  19.65  17.42 
 217.95927   -0.22098  0.088  38.00  19.42  16.69 
 218.01801   -0.31618  0.105  38.40  19.14  16.32 
 217.98428   -0.34941  0.137  39.03  20.16  17.25 
 217.91418   -0.28669  0.135  38.99  18.45  16.59 
 218.09196   -0.22671  0.055  36.94  18.25  16.17 
 218.10623   -0.35362  0.088  38.00  19.17  16.72 
 218.20274   -0.36364  0.213  40.09  19.19  17.35 
 218.26286   -0.20995  0.220  40.17  20.79  17.43 
 218.25078   -0.37527  0.105  38.41  20.35  17.16 
 218.47827   -0.41119  0.036  35.97  18.61  16.55 
 218.48697   -0.30877  0.123  38.77  20.25  17.22 
 218.38336   -0.27817  0.123  38.77  19.91  17.34 
 218.48820   -0.30117  0.030  35.55  17.27  15.87 
 218.56677   -0.31383  0.084  37.88  19.34  17.20 
 218.67384   -0.35624  0.124  38.79  19.63  16.69 
 218.77008   -0.40445  0.123  38.77  19.44  16.55 
 218.75642   -0.26165  0.129  38.89  19.92  17.22 
 218.92894   -0.29287  0.057  37.00  17.79  16.57 
 218.93280   -0.38777  0.105  38.40  19.78  16.82 
 218.90942   -0.40199  0.107  38.46  19.75  16.99 
 218.79730   -0.29336  0.221  40.18  19.87  16.75 
 218.94443   -0.37124  0.107  38.45  18.48  15.31 
 219.05260   -0.31316  0.152  39.27  19.68  17.00 
 218.98145   -0.24391  0.140  39.07  20.53  17.27 
 218.99887   -0.41624  0.107  38.45  19.83  17.04 
 219.05641   -0.27412  0.106  38.42  19.25  17.40 
 219.03758   -0.28565  0.140  39.08  19.15  17.12 
 219.05687   -0.26934  0.219  40.16  20.24  16.91 
 219.22427   -0.32250  0.057  37.00  24.41  17.41 
 219.15485   -0.27020  0.138  39.05  19.79  17.29 
 219.20876   -0.34915  0.106  38.42  18.95  17.16 
 219.22481   -0.29261  0.137  39.04  19.80  17.56 
 219.25165   -0.26009  0.106  38.44  19.59  16.66 
 219.36058   -0.28636  0.140  39.09  20.12  17.30 
 219.37099   -0.26667  0.135  39.00  18.63  15.60 
 219.51538   -0.32184  0.247  40.46  21.00  17.38 
 219.39105   -0.28172  0.134  38.97  20.27  17.56 
